,author_id,created_at,text,id
0,399817418,2017-04-07T19:42:40.000Z,I hate er chase because if the Bitch that works there she's literally evil,850433664890544128
1,928512230,2017-04-06T21:39:45.000Z,RT @nyctophil3: Pineapples do not belong on pizza. Y'all niggas are nasty.,850100742035836929
2,46267097,2017-03-31T13:35:20.000Z,Niggas keep talking about women wearing weave but be sick when a bitch up a fro on they ass. 😭,847804507367100416
3,14413604,2017-04-06T20:58:20.000Z,@vappywave idiot that's not gonna work. you gotta put flame stickers on it to make it go faster,850090319165050880
4,3137373930,2017-04-03T00:00:48.000Z,RT @ayevonnn: bruh i fucking hate people like this 😤 https://t.co/dceEXQhnhq,848686686930382848
5,248033951,2017-04-07T16:11:57.000Z,RT @mattmfm: I'm really fucking sick of watching the Republican Party be rewarded for flagrantly degrading our democracy.,850380636300820480
6,125857445,2017-03-31T03:33:05.000Z,@JayFoee_ just another dumbass bronco fan swear I hate this fanbase dawg 😭,847652946217009155
7,540418846,2017-04-03T09:52:55.000Z,"RT @THESLUMPGOD: I Sampled Jaws 

Pull Up With The Pistol Make A Nigga Look So Dam Sick Like He Seen A Bitch With 3 Titts https://t.co/64YC…",848835698006401024
8,159594246,2017-04-07T05:17:15.000Z,RT @arianam0lina: if you litter you're a bitch &amp; i hate you,850215875680522240
9,162019455,2017-04-06T09:53:03.000Z,RT @cybeque: Don't take out the anger of being a hairless nigga on us. .. https://t.co/7UeObG5182,849922895132459008
10,3514295475,2017-03-31T04:16:52.000Z,Bloody splicers sealed Johnny in before they... goddamn splicers!,847663964657860609
11,15957169,2017-04-02T17:53:01.000Z,"He would not have won if the DNC knew what the hell they were doing. It's too bad if saying that hurts feelings, but Trump's gotta go",848594131257577473
12,72977347,2017-04-05T22:31:09.000Z,"RT @GunnerStaal: ""You see we should have traded Letang, he's always hurt""

            - Idiots",849751289399566336
13,359023306,2017-03-31T14:03:57.000Z,I hate when people get up here and tell what happening on a TV show or Movie... Shut yo ass up 😂,847811708995481600
14,363456050,2017-04-03T20:35:45.000Z,Niggas worst than your side bitch always questioning they position,848997472273936384
15,720316882155274240,2017-04-07T02:53:28.000Z,RT @Juanie_LOE: So this dude bombed Syria!!!! Idiot,850179691386249217
16,384491557,2017-04-03T12:39:42.000Z,@HeyMisfit She does &amp; tori is an idiot for taking it all the time,848877670389755904
17,1110526771,2017-04-03T04:49:43.000Z,Might pull up wit yo bitch just to make these niggas sick,848759395215265792
18,190586896,2017-03-30T17:20:01.000Z,"Line from this #film 
""I don't take orders from a fucking woman!"" 
- https://t.co/Rf4P2NCJEd https://t.co/Du7TlROFtU",847498662905307136
19,845554279343579136,2017-04-07T20:28:38.000Z,"JAP Battle (EXPLICIT) - ""Crazy Ex-Girlfriend"" https://t.co/65vwI3oOL4

Awe Snap, Scarsdale!!! https://t.co/65vwI3oOL4",850445232789487616
20,3258621473,2017-04-04T20:18:47.000Z,RT @realdealsky11: Just cuz my money keep runnin like Forest Gump 💰🏃🏾I got niggas hate me like I'm Donald Trump,849355590354776064
21,62002204,2017-04-06T15:58:18.000Z,@pepsi No need to apologize because some people are too retarded to see your message of positivity and to trying to unite us.,850014813292032001
22,2956959372,2017-04-07T04:58:33.000Z,"IM SO FUCKING PISSED!!! I HATE YOU TRUMP, I WANTED TO START WW3",850211169662935040
23,723547518370459648,2017-04-02T12:58:04.000Z,RT @soldier_777: Justice for Bud- cruel students lit up fire crackers in his mouth! Plz sign: https://t.co/GEMnucSy2K https://t.co/81De4AXo…,848519904655552512
24,52242766,2017-04-04T16:44:12.000Z,@JJohnsonLaw @intelligencer I wish she would move to Montana so she could be my senator instead of that idiot steve daines,849301588674039809
25,1345164408,2017-04-07T13:50:06.000Z,RT @soulkhan: It's beyond fucking cruel that the Syrians who will die because of this were doomed regardless of who won our dogshit electio…,850344938587947009
26,74447685,2017-04-05T19:46:58.000Z,You have always been an idiot 🤣 https://t.co/jQoqFaH7Xe,849709971298291713
27,818618816569769985,2017-04-08T15:11:34.000Z,RT @PrisonPlanet: Join us today on the DC mall for Pussy March 2 against evil fascist dictator Drumpf. #RESISTANCE #NOTMYPRESIDENT #IMWITHH…,850727828215746560
28,4561745483,2017-03-30T11:18:13.000Z,"RT @BBErika_: Hate a nigga that try and run me, ""you can't wear this, you can't go out, you can't chill with them"" likeeeeee is u my man or…",847407612983259136
29,305673997,2017-04-02T08:40:05.000Z,Talamabout going to dates with your filters. No wonder that nigga was disappointed 😂😂😂😂😂😂😂,848454981023936512
30,225266328,2017-04-06T18:06:50.000Z,There's always that one idiot in the class! STFU 😒😒,850047159789596672
31,4341248236,2017-03-31T06:53:32.000Z,"Columbian niggas outchea tweaking on TV, getting disgusting for the camera",847703391081906177
32,985128594,2017-04-06T04:06:40.000Z,RT @WORLDSHIPHOP: RT if you still hate this nigga 😂 https://t.co/dnuiVHBfS1,849835724908224512
33,718428174967701504,2017-03-31T04:08:51.000Z,@Wez_Khalifa99 And once he called me an ungrateful bitch and retarded nigga in an argument. It's how we argued. Now you're being blocked but I'm tired of u,847661947159891972
34,2730429478,2017-04-01T01:38:34.000Z,"RT @_ialiyah: you bitches not friends , y'all just hate alike 😝",847986514986487808
35,816068773,2017-04-07T06:01:42.000Z,RT @sideniggajoel: Lmaooo on god if you believe in horoscopes unfollow me u retarded https://t.co/U0aSpJc7wf,850227061868314625
36,1959192986,2017-04-05T14:15:59.000Z,I really fucking hate u omg D':&lt;!!!! https://t.co/EzjD4xv9p3,849626676615053314
37,278816856,2017-04-07T05:12:18.000Z,"@Freeyourmindkid Hell yes! He thinks all of us are stupid. If he felt bad about the kids in Syria, he should be letting them in and not turning his back.",850214629972127746
38,89220865,2017-04-04T17:35:11.000Z,Islamic State says U.S. 'being run by an idiot' via @Reuters (huh)  https://t.co/MbUK1Cz1t7,849314419087691776
39,183006545,2017-04-03T15:32:57.000Z,"@serial_jesus It's awful, I'm in 🇬🇧 and no news station here is covering it! It's their job to cover news regardless ffs. Fucking bastards.",848921270162993152
40,734413259055337472,2017-04-07T04:21:07.000Z,RT @niigeriann: Hate dirty bitches that give they 🐱  too everybody ❗️💯,850201749260337152
41,831641602590400513,2017-04-02T23:10:43.000Z,@CopTheWorld @_cool_breeze85 @Amiller_79 @amseif19 @Deadlaced @SCOOP208 @CosmicSneaker @Sneakerchief23 this nigga retarded,848674083059445762
42,473729434,2017-04-03T15:10:35.000Z,RT @notwaving: I hate it when I'm trying to board a bus and there's already an asshole on it. https://t.co/Qps29bAaoA,848915641440624640
43,2318179664,2017-04-05T02:21:56.000Z,"RT @ThroughMyKyes: Between the flips all the time and thinking they invented time and space, I fucking hate Ospreay and Ricochet.",849446980048883712
44,754845933393903617,2017-03-31T16:38:13.000Z,RT @leannalynn_: IM SICK OF NIGGAS PLAYIN WIT ME LIKE I WONT FIGHT THEY ASS,847850531473289217
45,476967772,2017-04-02T06:25:52.000Z,RT @Recouturee_: need a nigga that like traveling. I hate females and I don't be wanting to go alone .,848421204293799936
46,15147411,2017-04-03T16:49:57.000Z,@eimzkavanagh @sturnbull74 @Reuters Are you retarded or something?,848940647872688128
47,4872712095,2017-04-07T18:06:08.000Z,"Florida
Ohio
Pennsylvania
People upset are so god damn stupid it hurts, im not a fan of the strike but christ do at least some research https://t.co/m0EZEwPOdK",850409371469324289
48,2477395458,2017-04-04T04:23:15.000Z,I understand why niggas dont wanna be in relationships😭😂😭😂 girls annoying af,849115122538885121
49,1035075649,2017-04-05T22:39:11.000Z,RT @ChickenColeman: That nigga needs anger management,849753311049732096
50,97014059,2017-03-30T20:19:11.000Z,i hate when people say this.. like yea you fucking did 😂 its called lunch https://t.co/j1rURyUKO1,847543751702487040
51,285403232,2017-04-07T11:54:50.000Z,RT @WORLDSHIPHOP: RT if you still hate this nigga 😂 https://t.co/dnuiVHBfS1,850315930798219264
52,447713407,2017-04-01T16:29:54.000Z,i hope leaders just kick retards that fake leave teams today,848210826364407808
53,3404255495,2017-04-08T20:33:48.000Z,@BBNaija @DJXCLUSIVE @legend_NG  she how TBoss the look like mugu. She no sabi anything. Idiot,850808920876732416
54,436221661,2017-04-02T00:22:01.000Z,i'm sick of these niggas they had the easiest road ever,848329638413840384
55,108630313,2017-04-03T14:26:56.000Z,"idiot brainwashed Christians,, https://t.co/mFgGJAty20",848904656524906498
